Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841.2,7311749633.4,7756110210.1,8374175257.7,9169983885.7,9994070615.9,10887682273.1,11579431668.9,12440625312.9,13582798556.2,15373005768.7,17858485956.6,22059612417.4,29515467987.9,35189299985.3,40059206763.1,42959976068.1,51545759220.7,62052258694.2,73937296654.7,82058912465.4,71034228097.5,71275287327.6,72121016623.3,67985345162.0,69386774474.6,99036165209.6,124168442860.3,133339397080.1,133105805928.2,166463386663.4,173794177725.4,195078126346.1,190379720927.5,203535242741.8,241038283062.6,237250948791.3,212790348404.6,218259904402.0,217185787342.9,196799778883.4,197337879194.6,213377771503.9,261695778781.0,300904221504.8,315974418604.7,335998557270.1,388691445387.4,430294287388.3,400172297860.5,391892746544.7,431120310088.8,409425234155.3,430068712971.9,441885415805.8,382065930308.0,390799991147.5,416595666396.6
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,70812513000.2,73534070005.6,78009484284.2,84536149968.6,92984338275.3,97382984893.9,104298061844.4,110816248179.5,116013831061.8,127773682667.1,134847202565.6,146829940251.3,169741381680.8,207915481088.4,239282887906.3,261347575658.3,280351132158.6,308988221945.3,363991767440.1,423984298569.3,449887486395.5,447456279701.1,444782888257.7,454551490167.8,462498950565.7,480732757497.7,560490298405.9,623300668094.2,688389295285.3,719785367495.0,8858006042.3,5344000000.0,4820100000.0,3976759493.7,3312797524.3,3052646638.1,3176749593.1,3962710163.1,4446394417.2,4581407767.0,5272798390.7,5707720390.9,6235795103.9,7276013032.0,8680472168.5,13245716099.0,20982986344.3,33050343782.8,48852482960.1,44291490420.5,52902703376.1,65951627200.2,69683935845.2,74164435946.5,75244294275.1,53074370486.0,37867518957.2,40747792238.0
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990.0,202999992.0,213500006.0,232749998.0,260750008.0,158994963.0,165444571.4,178297142.9,183200000.0,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222.2,1082926304.5,987143931.2,1149979285.8,1201725497.1,1131466494.0,1082403219.5,1113924130.4,1132101252.5,1167398478.3,1083037670.6,938632612.0,925030590.2,1000428393.9,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117257279.5,1273180597.0,1356078278.2,1611634331.6,1739781488.7,2026864469.4,2355652125.9,2472384907.0,2714505634.5,3093647226.8,3066681386.8,3007029030.4,3477502178.3
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722591.0,12400145221.6,13264015675.3,14260017387.0,15960106680.7,17371457607.9,18651883472.5,19992040788.5,21376353113.5,23710735894.7,26849148285.6,29981290025.5,37408591329.9,47999363071.8,56333010459.8,66029748930.6,71494539498.4,83283328418.7,101788475086.5,116938066868.5,127508202372.7,105290614080.8,92588895020.3,87650915976.3,83795680815.4,86730038793.4,120661220335.9,150194077687.7,163167853538.1,165100094594.6,206430841501.7,211637816538.7,236038384441.7,225924679920.7,246194938750.9,289567323481.1,281358175895.8,254813599458.7,260601911535.9,260202429149.8,237904919845.2,237841968680.1,258860436664.8,319002821670.4,370885026074.0,387365750528.5,409813197842.2,471821105940.3,518625897173.0,484552792442.3,483548031197.1,527008453886.9,497884216568.9,520925468952.9,530770977633.6,455039563132.8,467545548764.6,492681283049.2
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195579.4,235668222.4,236434906.8,253927646.5,269818988.3,289908720.6,302925280.8,306222000.4,326323097.4,330748211.5,333627758.2,335072975.2,410331901.0,504376035.7,554654787.0,676870140.3,698408244.4,750049739.2,928843304.8,1186231265.2,1405251547.2,1291119965.1,1267778489.0,1095348302.9,1051133927.0,1045712703.0,1336102040.7,1562412030.3,1620246187.2,1502294411.5,1959965243.8,1986437859.9,1695315305.7,2274557914.1,1598075932.4,2169627250.9,2361116587.9,2268301537.7,2455092582.3,2689787917.5,2569186642.9,2680213931.5,3054571081.7,3905366187.9,4521424807.2,4803702821.1,5142380779.4,5969535131.6,7132787396.7,7097198711.6,6970240895.5,7814081155.6,8152554487.3,9157355679.7,9707432015.6,8291155880.6,8573159696.6,9273558271.6
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442817.2,350247237.1,379567178.3,394040749.1,410321785.6,422916848.4,433889831.6,450753993.2,460442864.2,478298781.5,458404330.1,482411279.0,578595584.0,674773821.2,751133642.6,939972703.5,976547572.2,1131225278.8,1475584037.3,1748480982.2,1928720390.3,1775842679.9,1754450379.2,1600278756.4,1459880352.6,1552493414.0,2036303381.2,2369835438.6,2616040645.9,2615588545.7,3101301781.0,3135045684.1,2240264711.5,2332018010.6,1895290964.8,2379518099.2,2586550747.1,2447669403.9,2804902723.7,2993753187.1,2628920056.1,2812845513.6,3205592289.8,4205691222.1,4838551099.7,5462709498.5,5816310157.7,6771277871.0,8369637065.4,8369175126.3,8979966766.1,10724063457.8,11166063466.6,11947176342.0,12377391462.6,10419303761.4,11448781714.3,12873114800.0
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274893913.5,4817580183.6,5081413339.8,5319458351.2,5386054619.3,5906636557.0,6439687598.3,7253575399.3,7483685473.5,8471006101.0,8992721809.4,8751842839.8,6288245866.7,8086725729.3,12512460519.7,19448348073.5,10117113333.3,9651149301.9,13281767142.9,15565480321.9,18138049095.6,20249694002.4,18525399201.6,17609048821.5,18920840000.0,22278423076.9,21774033333.3,24298032258.1,26579005760.3,28781714763.8,31598341233.6,30957483949.6,31708874594.2,33166519418.0,33768660882.8,37939748768.7,46438484107.6,48244309133.5,49984559471.4,51270569883.5,53369787318.6,53991289844.3,54724081490.5,60158929188.3,65108544250.0,69442943089.4,71819083683.7,79611888213.1,91631278239.3,102477791472.4,115279077465.2,128637938711.4,133355749482.5,149990451022.3,172885454931.5,195078665827.6,221415162445.6,249723887765.4
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,70812513000.2,73534070005.6,78009484284.2,84536149968.6,92984338275.3,97382984893.9,104298061844.4,110816248179.5,116013831061.8,127773682667.1,134847202565.6,146829940251.3,169741381680.8,207915481088.4,239282887906.3,261347575658.3,280351132158.6,308988221945.3,363991767440.1,423984298569.3,19839230769.2,19870000000.0,19342000000.0,16563666666.7,17594944444.4,17155421052.6,20249294117.6,28101000000.0,22555941176.5,21988444444.4,20632090909.1,10943548387.1,10350515463.9,10829710144.9,9697416974.2,13063422619.0,10109612141.7,11195612105.4,14630992956.1,13495075365.9,13153016530.9,14075616789.5,16276456427.5,20982685981.4,25957970922.5,29636617749.8,34130122490.9,44411476557.0,54409138498.4,51884481410.4,50610058210.4,57418414504.1,53903022339.0,55758754071.7,56731990232.0,50199104511.4,53240893665.2,56831518294.4
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,70812513000.2,73534070005.6,78009484284.2,84536149968.6,92984338275.3,97382984893.9,104298061844.4,110816248179.5,116013831061.8,127773682667.1,134847202565.6,146829940251.3,169741381680.8,207915481088.4,239282887906.3,261347575658.3,280351132158.6,308988221945.3,363991767440.1,423984298569.3,3072698328.5,3467819148.9,3645744680.9,3735106383.0,3905585106.4,3651861702.1,3052393617.0,3392021010.6,3702393617.0,3863563829.8,4229787234.0,4616223404.3,4751063829.8,5200265957.4,5567553457.4,5849467819.1,6101861436.2,6349202393.6,6183776595.7,6621010372.3,9062906914.9,8976207712.8,9632155053.2,11074822074.5,13150166755.3,15968726861.7,18505053191.5,21730000000.0,25710877659.6,22938218085.1,25713271276.6,28776595744.7,30749308510.6,32539547872.3,33387712766.0,31125851063.8,32152686170.2,35307127659.6
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169803921.6,190098039.2,212254902.0,237745098.0,266666666.7,300392156.9,340000000.0,390196078.4,444901960.8,528137254.9,538423153.7,573400000.0,590900000.0,670900000.0,632400000.0,596200000.0,642100000.0,713000000.0,832400000.0,1139800100.0,1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10627600000.0,10957300000.0,11792300000.0,11838800000.0,12162100000.0
